a_over_b,mode_family,p,q,kz,ky,kx
3.8500000000000001,E_y,2,1,9423154.002815295,153376.51764660288,84165.865200508764
3.9000000000000004,E_y,1,2,9419698.3411191795,306587.64648789563,41554.628404968033
3.9000000000000004,E_y,2,1,9423163.3882490303,153376.51764660288,83108.435203169036
3.9500000000000002,E_y,1,2,9419700.6016232204,306587.64648789563,41039.013199763256
3.9500000000000002,E_y,2,1,9423172.4264981486,153376.51764660288,82077.244860329491
4,E_y,1,2,9419702.7795230597,306587.64648789563,40536.036693504357
4,E_y,2,1,9423181.1344774459,153376.51764660288,81071.329501894215
4.0500000000000007,E_y,1,2,9419704.878794929,306587.64648789563,40045.239820577874
4.0500000000000007,E_y,2,1,9423189.5280840527,153376.51764660288,80089.771169148997
4.0999999999999996,E_y,1,2,9419706.9031786602,306587.64648789563,39566.185481539491
4.0999999999999996,E_y,2,1,9423197.6222700179,153376.51764660288,79131.695821279514
4.1500000000000004,E_y,1,2,9419708.8561943546,306587.64648789563,39098.457244718476
4.1500000000000004,E_y,2,1,9423205.4311089478,153376.51764660288,78196.270740327862
4.2000000000000002,E_y,1,2,9419710.7411576901,306587.64648789563,38641.658138965984
4.2000000000000002,E_y,2,1,9423212.9678572081,153376.51764660288,77282.702117611218
4.25,E_y,1,2,9419712.5611940045,306587.64648789563,38195.409530065881
4.25,E_y,2,1,9423220.2450102195,153376.51764660288,76390.232807689725
4.3000000000000007,E_y,1,2,9419714.3192512617,306587.64648789563,37759.350074001326
4.3000000000000007,E_y,2,1,9423227.2743542679,153376.51764660288,75518.140235858737
4.3499999999999996,E_y,1,2,9419716.0181119945,306587.64648789563,37333.134741249778
4.3499999999999996,E_y,2,1,9423234.0670142695,153376.51764660288,74665.734447490831
4.4000000000000004,E_y,1,2,9419717.6604043152,306587.64648789563,36916.433906202445
4.4000000000000004,E_y,2,1,9423240.6334977895,153376.51764660288,73832.3562879651
4.4500000000000002,E_y,1,2,9419719.2486120947,306587.64648789563,36508.93249719654
4.4500000000000002,E_y,2,1,9423246.9837357178,153376.51764660288,73017.375702975958
4.5,E_y,1,2,9419720.7850843556,306587.64648789563,36110.329201895802
4.5,E_y,2,1,9423253.1271198224,153376.51764660288,72220.190150328533
4.5499999999999998,E_y,1,2,9419722.2720439602,306587.64648789563,35720.335724391305
4.5499999999999998,E_y,2,1,9423259.0725374948,153376.51764660288,71440.223114478256
4.6000000000000005,E_y,1,2,9419723.7115956582,306587.64648789563,35338.676089867207
4.6000000000000005,E_y,2,1,9423264.8284039125,153376.51764660288,70676.92271638909
4.6500000000000004,E_y,1,2,9419725.1057335399,306587.64648789563,34965.08599327827
4.6500000000000004,E_y,2,1,9423270.4026918188,153376.51764660288,69929.760411509051
4.7000000000000002,E_y,1,2,9419726.4563479405,306587.64648789563,34599.312189012526
4.7000000000000002,E_y,2,1,9423275.8029591627,153376.51764660288,69198.229769433325
4.75,E_y,1,2,9419727.7652318534,306587.64648789563,34241.111918474257
4.75,E_y,2,1,9423281.0363747049,153376.51764660288,68481.845329353237
4.7999999999999998,E_y,1,2,9419729.0340868831,306587.64648789563,33890.25237274867
4.7999999999999998,E_y,2,1,9423286.1097418442,153376.51764660288,67780.141525873565
4.8500000000000005,E_y,1,2,9419730.264528783,306587.64648789563,33546.51018803574
4.8500000000000005,E_y,2,1,9423291.0295207202,153376.51764660288,67092.671680237778
4.9000000000000004,E_y,1,2,9419731.4580925945,306587.64648789563,33209.670971521962
4.9000000000000004,E_y,2,1,9423295.8018487915,153376.51764660288,66419.007052165514
4.9500000000000002,E_y,1,2,9419732.6162374448,306587.64648789563,32879.528855452692
4.9500000000000002,E_y,2,1,9423300.4325599913,153376.51764660288,65758.735948448448
5,E_y,1,2,9419733.7403509971,306587.64648789563,32555.886077600429
5,E_y,2,1,9423304.9272025563,153376.51764660288,65111.462883962129
