case_id,table_entry_interpretation,row_id,article_panel_id,solver_model,a_over_b,n1,n2,n3,n4,n5,article_dimension_normalized,computed_dimension_normalized,computed_b_normalized,computed_a_normalized,computed_b_over_A4,absolute_error,relative_error,limiting_cutoff_found,limiting_cutoff_status,limiting_mode_id,limiting_mode_family,limiting_p,limiting_q,ex11_guided_just_below_cutoff,ey11_guided_just_below_cutoff
SG-TBL-001,a_times_n1_over_lambda,SG-TBL-001B-1010,SG-006b,exact,2,1.5,1.4851485148514851,1.4851485148514851,1.4851485148514851,1.4851485148514851,6.0999999999999996,6.5341074603795999,3.2670537301897999,6.5341074603795999,0.91719763781809138,0.43410746037960024,0.071165157439278731,1,found,E_x_2_1,E_x,2,1,1,1
SG-TBL-001,a_times_n1_over_lambda,SG-TBL-001B-1010,SG-006b,closed_form,2,1.5,1.4851485148514851,1.4851485148514851,1.4851485148514851,1.4851485148514851,6.0999999999999996,6.8895601803064324,3.4447800901532162,6.8895601803064324,0.96709280667623654,0.78956018030643271,0.12943609513220208,1,found,E_x_2_1,E_x,2,1,1,1
SG-TBL-001,a_times_n1_over_lambda,SG-TBL-001B-1050,SG-006b,exact,2,1.5,1.4285714285714286,1.4285714285714286,1.4285714285714286,1.4285714285714286,2.7999999999999998,3.0415730819106099,1.520786540955305,3.0415730819106099,0.92740811050976912,0.24157308191061011,0.08627610068236076,1,found,E_x_2_1,E_x,2,1,1,1
SG-TBL-001,a_times_n1_over_lambda,SG-TBL-001B-1050,SG-006b,closed_form,2,1.5,1.4285714285714286,1.4285714285714286,1.4285714285714286,1.4285714285714286,2.7999999999999998,3.2228675562143323,1.6114337781071661,3.2228675562143323,0.98268673158247444,0.42286755621433247,0.15102412721940447,1,found,E_x_2_1,E_x,2,1,1,1
SG-TBL-001,a_times_n1_over_lambda,SG-TBL-001B-1500,SG-006f,exact,2,1.5,1,1,1,1,1.21,1.3688574671745299,0.68442873358726497,1.3688574671745299,1.020286116036812,0.15885746717452998,0.13128716295415702,1,found,E_x_2_1,E_x,2,1,1,1
SG-TBL-001,a_times_n1_over_lambda,SG-TBL-001B-1500,SG-006f,closed_form,2,1.5,1,1,1,1,1.21,1.4576625442504882,0.72883127212524412,1.4576625442504882,1.0864775123997956,0.24766254425048828,0.20467978863676717,1,found,E_x_2_1,E_x,2,1,1,1
SG-TBL-001,a_times_n1_over_lambda,SG-TBL-001C-1001,SG-006c,exact,4,1.5,1.4985014985014986,1.4985014985014986,1.4985014985014986,1.4985014985014986,26.800000000000001,26.620157515406603,6.6550393788516509,26.620157515406603,0.59479881155810677,-0.17984248459339724,-0.0067105404699028823,1,found,E_x_2_1,E_x,2,1,1,1
SG-TBL-001,a_times_n1_over_lambda,SG-TBL-001C-1001,SG-006c,closed_form,4,1.5,1.4985014985014986,1.4985014985014986,1.4985014985014986,1.4985014985014986,26.800000000000001,28.766970493793487,7.1917426234483717,28.766970493793487,0.64276704042538557,1.966970493793486,0.073394421410204705,1,found,E_x_2_1,E_x,2,1,1,1
SG-TBL-001,a_times_n1_over_lambda,SG-TBL-001C-1010,SG-006c,exact,4,1.5,1.4851485148514851,1.4851485148514851,1.4851485148514851,1.4851485148514851,8.5,8.4928315860033017,2.1232078965008254,8.4928315860033017,0.59607261713266679,-0.0071684139966983196,-0.00084334282314097874,1,found,E_x_2_1,E_x,2,1,1,1
SG-TBL-001,a_times_n1_over_lambda,SG-TBL-001C-1010,SG-006c,closed_form,4,1.5,1.4851485148514851,1.4851485148514851,1.4851485148514851,1.4851485148514851,8.5,9.1784160774946209,2.2946040193736552,9.1784160774946209,0.64419062559315388,0.67841607749462085,0.079813656175837744,1,found,E_x_2_1,E_x,2,1,1,1
