case_id,ratio_id,ratio_label,curve_id,curve_label,solver_model,transverse_equation,p,n1_over_n5,index_ratio_squared,a_over_A5,sample_index,c_over_a,c_over_A5,kx_A5_over_pi,sqrt_one_minus_kx_A5_over_pi_squared,normalized_coupling,domain_valid,status
CP-011-FIG11-001,n1_over_n5=1.5,1.5,a_over_A5=0.5,0.5,exact,eq20,1,1.5,0.44444444444444442,0.5,96,1.9199999999999999,0.95999999999999996,0.92924316284511965,0.36946873251413087,0.2093802958017181,1,ok
CP-011-FIG11-001,n1_over_n5=1.5,1.5,a_over_A5=0.5,0.5,exact,eq20,1,1.5,0.44444444444444442,0.5,97,1.9399999999999999,0.96999999999999997,0.92924316284511965,0.36946873251413087,0.20696402648840506,1,ok
CP-011-FIG11-001,n1_over_n5=1.5,1.5,a_over_A5=0.5,0.5,exact,eq20,1,1.5,0.44444444444444442,0.5,98,1.96,0.97999999999999998,0.92924316284511965,0.36946873251413087,0.20457564116184498,1,ok
CP-011-FIG11-001,n1_over_n5=1.5,1.5,a_over_A5=0.5,0.5,exact,eq20,1,1.5,0.44444444444444442,0.5,99,1.98,0.98999999999999999,0.92924316284511965,0.36946873251413087,0.20221481803807403,1,ok
CP-011-FIG11-001,n1_over_n5=1.5,1.5,a_over_A5=0.5,0.5,exact,eq20,1,1.5,0.44444444444444442,0.5,100,2,1,0.92924316284511965,0.36946873251413087,0.19988123904654714,1,ok
CP-011-FIG11-001,n1_over_n5=1.5,1.5,a_over_A5=0.5,0.5,exact,eq20,1,1.5,0.44444444444444442,0.5,101,2.02,1.01,0.92924316284511965,0.36946873251413087,0.19757458978728487,1,ok
CP-011-FIG11-001,n1_over_n5=1.5,1.5,a_over_A5=0.5,0.5,exact,eq20,1,1.5,0.44444444444444442,0.5,102,2.04,1.02,0.92924316284511965,0.36946873251413087,0.19529455948851446,1,ok
CP-011-FIG11-001,n1_over_n5=1.5,1.5,a_over_A5=0.5,0.5,exact,eq20,1,1.5,0.44444444444444442,0.5,103,2.0600000000000001,1.03,0.92924316284511965,0.36946873251413087,0.19304084096480029,1,ok
CP-011-FIG11-001,n1_over_n5=1.5,1.5,a_over_A5=0.5,0.5,exact,eq20,1,1.5,0.44444444444444442,0.5,104,2.0800000000000001,1.04,0.92924316284511965,0.36946873251413087,0.19081313057565699,1,ok
CP-011-FIG11-001,n1_over_n5=1.5,1.5,a_over_A5=0.5,0.5,exact,eq20,1,1.5,0.44444444444444442,0.5,105,2.1000000000000001,1.05,0.92924316284511965,0.36946873251413087,0.18861112818464038,1,ok
CP-011-FIG11-001,n1_over_n5=1.5,1.5,a_over_A5=0.5,0.5,exact,eq20,1,1.5,0.44444444444444442,0.5,106,2.1200000000000001,1.0600000000000001,0.92924316284511965,0.36946873251413087,0.18643453711891053,1,ok
CP-011-FIG11-001,n1_over_n5=1.5,1.5,a_over_A5=0.5,0.5,exact,eq20,1,1.5,0.44444444444444442,0.5,107,2.1400000000000001,1.0700000000000001,0.92924316284511965,0.36946873251413087,0.1842830641292614,1,ok
CP-011-FIG11-001,n1_over_n5=1.5,1.5,a_over_A5=0.5,0.5,exact,eq20,1,1.5,0.44444444444444442,0.5,108,2.1600000000000001,1.0800000000000001,0.92924316284511965,0.36946873251413087,0.1821564193506118,1,ok
CP-011-FIG11-001,n1_over_n5=1.5,1.5,a_over_A5=0.5,0.5,exact,eq20,1,1.5,0.44444444444444442,0.5,109,2.1800000000000002,1.0900000000000001,0.92924316284511965,0.36946873251413087,0.18005431626295226,1,ok
CP-011-FIG11-001,n1_over_n5=1.5,1.5,a_over_A5=0.5,0.5,exact,eq20,1,1.5,0.44444444444444442,0.5,110,2.2000000000000002,1.1000000000000001,0.92924316284511965,0.36946873251413087,0.17797647165274247,1,ok
CP-011-FIG11-001,n1_over_n5=1.5,1.5,a_over_A5=0.5,0.5,exact,eq20,1,1.5,0.44444444444444442,0.5,111,2.2200000000000002,1.1100000000000001,0.92924316284511965,0.36946873251413087,0.17592260557475448,1,ok
