case_id,curve_id,solver_model,mode_family,p,q,sample_index,a_over_A,a,b,guided,domain_valid,kx,ky,kz,kz_normalized_against_n4
SG-008-METAL-001,E_y_1_1,exact,E_y,1,1,40,1.3666666666666669,1.4940623220676652e-06,7.4703116103383258e-07,1,1,1414048.7959468979,1450152.7945664958,9204562.0474249814,0.50322624219749168
SG-008-METAL-001,E_y_1_1,exact,E_y,1,1,41,1.3995833333333336,1.5300473597028314e-06,7.6502367985141572e-07,1,1,1392186.7940283252,1427397.012127988,9211449.0342239588,0.51858433530221615
SG-008-METAL-001,E_y_1_1,exact,E_y,1,1,42,1.4325000000000001,1.5660323973379975e-06,7.8301619866899875e-07,1,1,1370956.5688779207,1405296.8312250895,9218028.9928055368,0.53326848058876253
SG-008-METAL-001,E_y_1_1,exact,E_y,1,1,43,1.4654166666666668,1.602017434973164e-06,8.01008717486582e-07,1,1,1350333.4500075695,1383827.6172691868,9224318.9618138205,0.54731527399918534
SG-008-METAL-001,E_y_1_1,exact,E_y,1,1,44,1.4983333333333335,1.6380024726083303e-06,8.1900123630416514e-07,1,1,1330293.8266537692,1362965.6529744086,9230334.9112252258,0.56075908993283841
SG-008-METAL-001,E_y_1_1,exact,E_y,1,1,45,1.5312500000000002,1.6739875102434968e-06,8.3699375512174838e-07,1,1,1310815.1157645984,1342688.1331146879,9236091.8098122161,0.57363221308328416
SG-008-METAL-001,E_y_1_1,exact,E_y,1,1,46,1.5641666666666669,1.709972547878663e-06,8.5498627393933152e-07,1,1,1291875.7272116574,1322973.1523076617,9241603.6894858647,0.58596496547274723
SG-008-METAL-001,E_y_1_1,exact,E_y,1,1,47,1.5970833333333336,1.7459575855138293e-06,8.7297879275691466e-07,1,1,1273455.0272365119,1303799.6874419344,9246883.7063324545,0.59778582802769364
SG-008-METAL-001,E_y_1_1,exact,E_y,1,1,48,1.6300000000000001,1.7819426231489956e-06,8.909713115744978e-07,1,1,1255533.3009098293,1285147.5760950381,9251944.1982627511,0.60912155629442599
SG-008-METAL-001,E_y_1_1,exact,E_y,1,1,49,1.6629166666666668,1.8179276607841619e-06,9.0896383039208094e-07,1,1,1238091.7142298426,1266997.4920019098,9256796.7392732855,0.61999729009666227
SG-008-METAL-001,E_y_1_1,exact,E_y,1,1,50,1.6958333333333335,1.8539126984193282e-06,9.2695634920966408e-07,1,1,1221112.2763331914,1249330.9184533781,9261452.1903743092,0.63043665708198371
SG-008-METAL-001,E_y_1_1,exact,E_y,1,1,51,1.7287500000000002,1.8898977360544947e-06,9.4494886802724733e-07,1,1,1204577.8021834102,1232130.1203316366,9265920.7472793981,0.64046187021345036
