case_id,table_entry_interpretation,row_id,article_panel_id,solver_model,mode_id,mode_family,p,q,cutoff_found,guided_at_search_min,guided_at_search_max,guided_in_search_window,cutoff_status,cutoff_b_normalized,cutoff_a_normalized,cutoff_b_over_A4
SG-TBL-001,a_times_n1_over_lambda,SG-TBL-001A-1010,SG-006a,exact,E_x_1_3,E_x,1,3,1,0,1,1,found,8.3799388520419598,8.3799388520419598,2.3525967905359213
SG-TBL-001,a_times_n1_over_lambda,SG-TBL-001A-1010,SG-006a,exact,E_y_1_4,E_y,1,4,1,0,1,1,found,11.668382304608823,11.668382304608823,3.2757994115768279
SG-TBL-001,a_times_n1_over_lambda,SG-TBL-001A-1010,SG-006a,exact,E_x_1_4,E_x,1,4,1,0,1,1,found,11.661872544437649,11.661872544437649,3.2739718515962295
SG-TBL-001,a_times_n1_over_lambda,SG-TBL-001A-1010,SG-006a,exact,E_y_2_1,E_y,2,1,1,0,1,1,found,5.2831694364547728,5.2831694364547728,1.4832050304319733
SG-TBL-001,a_times_n1_over_lambda,SG-TBL-001A-1010,SG-006a,exact,E_x_2_1,E_x,2,1,1,0,1,1,found,5.288182674348354,5.288182674348354,1.4846124544701282
SG-TBL-001,a_times_n1_over_lambda,SG-TBL-001A-1010,SG-006a,exact,E_y_2_2,E_y,2,2,1,0,1,1,found,7.5720961630344386,7.5720961630344386,2.1258018042033067
SG-TBL-001,a_times_n1_over_lambda,SG-TBL-001A-1010,SG-006a,exact,E_x_2_2,E_x,2,2,1,0,1,1,found,7.5720961630344386,7.5720961630344386,2.1258018042033067
SG-TBL-001,a_times_n1_over_lambda,SG-TBL-001A-1010,SG-006a,exact,E_y_2_3,E_y,2,3,1,0,1,1,found,10.272298348695035,10.272298348695035,2.8838606764628905
SG-TBL-001,a_times_n1_over_lambda,SG-TBL-001A-1010,SG-006a,exact,E_x_2_3,E_x,2,3,1,0,1,1,found,10.267976386398075,10.267976386398075,2.8826473221880957
SG-TBL-001,a_times_n1_over_lambda,SG-TBL-001A-1010,SG-006a,exact,E_y_2_4,E_y,2,4,1,0,1,1,found,13.242073435038332,13.242073435038332,3.7175998552448837
SG-TBL-001,a_times_n1_over_lambda,SG-TBL-001A-1010,SG-006a,exact,E_x_2_4,E_x,2,4,1,0,1,1,found,13.235513765960931,13.235513765960931,3.7157582837619709
SG-TBL-001,a_times_n1_over_lambda,SG-TBL-001A-1010,SG-006a,exact,E_y_3_1,E_y,3,1,1,0,1,1,found,8.3799388520419598,8.3799388520419598,2.3525967905359213
SG-TBL-001,a_times_n1_over_lambda,SG-TBL-001A-1010,SG-006a,exact,E_x_3_1,E_x,3,1,1,0,1,1,found,8.3864754289388657,8.3864754289388657,2.354431879084927
SG-TBL-001,a_times_n1_over_lambda,SG-TBL-001A-1010,SG-006a,exact,E_y_3_2,E_y,3,2,1,0,1,1,found,10.267976386398075,10.267976386398075,2.8826473221880957
SG-TBL-001,a_times_n1_over_lambda,SG-TBL-001A-1010,SG-006a,exact,E_x_3_2,E_x,3,2,1,0,1,1,found,10.272298348695035,10.272298348695035,2.8838606764628905
SG-TBL-001,a_times_n1_over_lambda,SG-TBL-001A-1010,SG-006a,exact,E_y_3_3,E_y,3,3,1,0,1,1,found,12.609516039043662,12.609516039043662,3.5400147289185497
SG-TBL-001,a_times_n1_over_lambda,SG-TBL-001A-1010,SG-006a,exact,E_x_3_3,E_x,3,3,1,0,1,1,found,12.609516039043662,12.609516039043662,3.5400147289185497
SG-TBL-001,a_times_n1_over_lambda,SG-TBL-001A-1010,SG-006a,exact,E_y_3_4,E_y,3,4,1,0,1,1,found,15.271789690703155,15.271789690703155,4.287425486802098
SG-TBL-001,a_times_n1_over_lambda,SG-TBL-001A-1010,SG-006a,exact,E_x_3_4,E_x,3,4,1,0,1,1,found,15.268256587088111,15.268256587088111,4.2864335979145851
SG-TBL-001,a_times_n1_over_lambda,SG-TBL-001A-1010,SG-006a,exact,E_y_4_1,E_y,4,1,1,0,1,1,found,11.661872544437649,11.661872544437649,3.2739718515962295
SG-TBL-001,a_times_n1_over_lambda,SG-TBL-001A-1010,SG-006a,exact,E_x_4_1,E_x,4,1,1,0,1,1,found,11.668382304608823,11.668382304608823,3.2757994115768279
SG-TBL-001,a_times_n1_over_lambda,SG-TBL-001A-1010,SG-006a,exact,E_y_4_2,E_y,4,2,1,0,1,1,found,13.235513765960931,13.235513765960931,3.7157582837619709
SG-TBL-001,a_times_n1_over_lambda,SG-TBL-001A-1010,SG-006a,exact,E_x_4_2,E_x,4,2,1,0,1,1,found,13.242073435038332,13.242073435038332,3.7175998552448837
SG-TBL-001,a_times_n1_over_lambda,SG-TBL-001A-1010,SG-006a,exact,E_y_4_3,E_y,4,3,1,0,1,1,found,15.268256587088111,15.268256587088111,4.2864335979145851
SG-TBL-001,a_times_n1_over_lambda,SG-TBL-001A-1010,SG-006a,exact,E_x_4_3,E_x,4,3,1,0,1,1,found,15.271789690703155,15.271789690703155,4.287425486802098
SG-TBL-001,a_times_n1_over_lambda,SG-TBL-001A-1010,SG-006a,exact,E_y_4_4,E_y,4,4,1,0,1,1,found,17.646937404870989,17.646937404870989,4.954228071887596
SG-TBL-001,a_times_n1_over_lambda,SG-TBL-001A-1010,SG-006a,exact,E_x_4_4,E_x,4,4,1,0,1,1,found,17.646937404870989,17.646937404870989,4.954228071887596
SG-TBL-001,a_times_n1_over_lambda,SG-TBL-001A-1010,SG-006a,closed_form,E_y_1_2,E_y,1,2,1,0,1,1,found,5.7330326740443702,5.7330326740443702,1.6095003206029148
SG-TBL-001,a_times_n1_over_lambda,SG-TBL-001A-1010,SG-006a,closed_form,E_x_1_2,E_x,1,2,1,0,1,1,found,5.7062241423130029,5.7062241423130029,1.6019740525926385
SG-TBL-001,a_times_n1_over_lambda,SG-TBL-001A-1010,SG-006a,closed_form,E_y_1_3,E_y,1,3,1,0,1,1,found,9.0366193826496577,9.0366193826496577,2.5369542823974101
SG-TBL-001,a_times_n1_over_lambda,SG-TBL-001A-1010,SG-006a,closed_form,E_x_1_3,E_x,1,3,1,0,1,1,found,9.0008741770684715,9.0008741770684715,2.5269191189657754
SG-TBL-001,a_times_n1_over_lambda,SG-TBL-001A-1010,SG-006a,closed_form,E_y_1_4,E_y,1,4,1,0,1,1,found,12.460911153405906,12.460911153405906,3.4982951670957148
SG-TBL-001,a_times_n1_over_lambda,SG-TBL-001A-1010,SG-006a,closed_form,E_x_1_4,E_x,1,4,1,0,1,1,found,12.421486097127197,12.421486097127197,3.4872269167772307
SG-TBL-001,a_times_n1_over_lambda,SG-TBL-001A-1010,SG-006a,closed_form,E_y_2_1,E_y,2,1,1,0,1,1,found,5.7062241423130029,5.7062241423130029,1.6019740525926385
SG-TBL-001,a_times_n1_over_lambda,SG-TBL-001A-1010,SG-006a,closed_form,E_x_2_1,E_x,2,1,1,0,1,1,found,5.7330326740443702,5.7330326740443702,1.6095003206029148
SG-TBL-001,a_times_n1_over_lambda,SG-TBL-001A-1010,SG-006a,closed_form,E_y_2_2,E_y,2,2,1,0,1,1,found,7.8296231395006171,7.8296231395006171,2.1981003196230371
SG-TBL-001,a_times_n1_over_lambda,SG-TBL-001A-1010,SG-006a,closed_form,E_x_2_2,E_x,2,2,1,0,1,1,found,7.8296231395006171,7.8296231395006171,2.1981003196230371
SG-TBL-001,a_times_n1_over_lambda,SG-TBL-001A-1010,SG-006a,closed_form,E_y_2_3,E_y,2,3,1,0,1,1,found,10.606303647309542,10.606303647309542,2.9776298324694417
