case_id,curve_id,curve_label,solver_model,transverse_equation,p,a_over_A5,sample_index,c_over_a,c_over_A5,kx_A5_over_pi,sqrt_one_minus_kx_A5_over_pi_squared,normalized_coupling,domain_valid,status
CP-010-FIG10-001,a_over_A5=0.5,0.5,exact,eq6,1,0.5,60,1.2,0.59999999999999998,0.80616259520668487,0.59169406798583235,0.25211370874887962,1,ok
CP-010-FIG10-001,a_over_A5=0.5,0.5,exact,eq6,1,0.5,61,1.22,0.60999999999999999,0.80616259520668487,0.59169406798583235,0.2474705521115303,1,ok
CP-010-FIG10-001,a_over_A5=0.5,0.5,exact,eq6,1,0.5,62,1.24,0.62,0.80616259520668487,0.59169406798583235,0.24291290809333183,1,ok
CP-010-FIG10-001,a_over_A5=0.5,0.5,exact,eq6,1,0.5,63,1.26,0.63,0.80616259520668487,0.59169406798583235,0.23843920181568229,1,ok
CP-010-FIG10-001,a_over_A5=0.5,0.5,exact,eq6,1,0.5,64,1.28,0.64000000000000001,0.80616259520668487,0.59169406798583235,0.23404788740438415,1,ok
CP-010-FIG10-001,a_over_A5=0.5,0.5,exact,eq6,1,0.5,65,1.3,0.65000000000000002,0.80616259520668487,0.59169406798583235,0.22973744745547325,1,ok
CP-010-FIG10-001,a_over_A5=0.5,0.5,exact,eq6,1,0.5,66,1.3200000000000001,0.66000000000000003,0.80616259520668487,0.59169406798583235,0.22550639251088436,1,ok
CP-010-FIG10-001,a_over_A5=0.5,0.5,exact,eq6,1,0.5,67,1.3400000000000001,0.67000000000000004,0.80616259520668487,0.59169406798583235,0.22135326054377447,1,ok
CP-010-FIG10-001,a_over_A5=0.5,0.5,exact,eq6,1,0.5,68,1.3600000000000001,0.68000000000000005,0.80616259520668487,0.59169406798583235,0.21727661645332366,1,ok
CP-010-FIG10-001,a_over_A5=0.5,0.5,exact,eq6,1,0.5,69,1.3800000000000001,0.69000000000000006,0.80616259520668487,0.59169406798583235,0.21327505156884158,1,ok
CP-010-FIG10-001,a_over_A5=0.5,0.5,exact,eq6,1,0.5,70,1.4000000000000001,0.70000000000000007,0.80616259520668487,0.59169406798583235,0.20934718316300552,1,ok
CP-010-FIG10-001,a_over_A5=0.5,0.5,exact,eq6,1,0.5,71,1.4199999999999999,0.70999999999999996,0.80616259520668487,0.59169406798583235,0.20549165397406366,1,ok
CP-010-FIG10-001,a_over_A5=0.5,0.5,exact,eq6,1,0.5,72,1.4399999999999999,0.71999999999999997,0.80616259520668487,0.59169406798583235,0.20170713173683796,1,ok
CP-010-FIG10-001,a_over_A5=0.5,0.5,exact,eq6,1,0.5,73,1.46,0.72999999999999998,0.80616259520668487,0.59169406798583235,0.19799230872236454,1,ok
CP-010-FIG10-001,a_over_A5=0.5,0.5,exact,eq6,1,0.5,74,1.48,0.73999999999999999,0.80616259520668487,0.59169406798583235,0.19434590128601179,1,ok
CP-010-FIG10-001,a_over_A5=0.5,0.5,exact,eq6,1,0.5,75,1.5,0.75,0.80616259520668487,0.59169406798583235,0.19076664942392207,1,ok
CP-010-FIG10-001,a_over_A5=0.5,0.5,exact,eq6,1,0.5,76,1.52,0.76000000000000001,0.80616259520668487,0.59169406798583235,0.18725331633762074,1,ok
CP-010-FIG10-001,a_over_A5=0.5,0.5,exact,eq6,1,0.5,77,1.54,0.77000000000000002,0.80616259520668487,0.59169406798583235,0.18380468800664518,1,ok
CP-010-FIG10-001,a_over_A5=0.5,0.5,exact,eq6,1,0.5,78,1.5600000000000001,0.78000000000000003,0.80616259520668487,0.59169406798583235,0.180419572769044,1,ok
CP-010-FIG10-001,a_over_A5=0.5,0.5,exact,eq6,1,0.5,79,1.5800000000000001,0.79000000000000004,0.80616259520668487,0.59169406798583235,0.17709680090960206,1,ok
CP-010-FIG10-001,a_over_A5=0.5,0.5,exact,eq6,1,0.5,80,1.6000000000000001,0.80000000000000004,0.80616259520668487,0.59169406798583235,0.17383522425564943,1,ok
CP-010-FIG10-001,a_over_A5=0.5,0.5,exact,eq6,1,0.5,81,1.6200000000000001,0.81000000000000005,0.80616259520668487,0.59169406798583235,0.17063371578031419,1,ok
CP-010-FIG10-001,a_over_A5=0.5,0.5,exact,eq6,1,0.5,82,1.6400000000000001,0.82000000000000006,0.80616259520668487,0.59169406798583235,0.1674911692130821,1,ok
CP-010-FIG10-001,a_over_A5=0.5,0.5,exact,eq6,1,0.5,83,1.6600000000000001,0.83000000000000007,0.80616259520668487,0.59169406798583235,0.16440649865752832,1,ok
CP-010-FIG10-001,a_over_A5=0.5,0.5,exact,eq6,1,0.5,84,1.6799999999999999,0.83999999999999997,0.80616259520668487,0.59169406798583235,0.16137863821608994,1,ok
CP-010-FIG10-001,a_over_A5=0.5,0.5,exact,eq6,1,0.5,85,1.7,0.84999999999999998,0.80616259520668487,0.59169406798583235,0.15840654162174805,1,ok
CP-010-FIG10-001,a_over_A5=0.5,0.5,exact,eq6,1,0.5,86,1.72,0.85999999999999999,0.80616259520668487,0.59169406798583235,0.15548918187649444,1,ok
CP-010-FIG10-001,a_over_A5=0.5,0.5,exact,eq6,1,0.5,87,1.74,0.87,0.80616259520668487,0.59169406798583235,0.15262555089645527,1,ok
CP-010-FIG10-001,a_over_A5=0.5,0.5,exact,eq6,1,0.5,88,1.76,0.88,0.80616259520668487,0.59169406798583235,0.14981465916355136,1,ok
CP-010-FIG10-001,a_over_A5=0.5,0.5,exact,eq6,1,0.5,89,1.78,0.89000000000000001,0.80616259520668487,0.59169406798583235,0.14705553538357335,1,ok
